creating new summary file
creating new summary file
start at epoch 0
downscale epochs: [35], downscale rate: 5.0
setting learning rate to 0.001
Epoch 1/100, Iter 116/164, train loss = 0.029, time = 0.097
Epoch 1/100, Iter 117/164, train loss = 0.005, time = 0.100
Epoch 1/100, Iter 118/164, train loss = 0.007, time = 0.095
Epoch 1/100, Iter 119/164, train loss = 0.006, time = 0.094
Epoch 1/100, Iter 120/164, train loss = 0.007, time = 0.096
Epoch 1/100, Iter 121/164, train loss = 0.020, time = 0.092
Epoch 1/100, Iter 122/164, train loss = 0.014, time = 0.091
Epoch 1/100, Iter 123/164, train loss = 0.008, time = 0.098
Epoch 1/100, Iter 124/164, train loss = 0.012, time = 0.096
Epoch 1/100, Iter 125/164, train loss = 0.009, time = 0.098
Epoch 1/100, Iter 126/164, train loss = 0.025, time = 0.092
Epoch 1/100, Iter 127/164, train loss = 0.029, time = 0.092
Epoch 1/100, Iter 128/164, train loss = 0.006, time = 0.089
Epoch 1/100, Iter 129/164, train loss = 0.025, time = 0.096
Epoch 1/100, Iter 130/164, train loss = 0.009, time = 0.103
Epoch 1/100, Iter 131/164, train loss = 0.009, time = 0.097
Epoch 1/100, Iter 132/164, train loss = 0.004, time = 0.093
Epoch 1/100, Iter 133/164, train loss = 0.009, time = 0.092
Epoch 1/100, Iter 134/164, train loss = 0.048, time = 0.106
Epoch 1/100, Iter 135/164, train loss = 0.119, time = 0.090
Epoch 1/100, Iter 136/164, train loss = 0.035, time = 0.090
Epoch 1/100, Iter 137/164, train loss = 0.013, time = 0.101
Epoch 1/100, Iter 138/164, train loss = 0.016, time = 0.092
Epoch 1/100, Iter 139/164, train loss = 0.008, time = 0.094
Epoch 1/100, Iter 140/164, train loss = 0.013, time = 0.095
Epoch 1/100, Iter 141/164, train loss = 0.013, time = 0.098
Epoch 1/100, Iter 142/164, train loss = 0.080, time = 0.107
Epoch 1/100, Iter 143/164, train loss = 0.004, time = 0.092
Epoch 1/100, Iter 144/164, train loss = 0.004, time = 0.093
Epoch 1/100, Iter 145/164, train loss = 0.004, time = 0.091
Epoch 1/100, Iter 146/164, train loss = 0.005, time = 0.092
Epoch 1/100, Iter 147/164, train loss = 0.012, time = 0.095
Epoch 1/100, Iter 148/164, train loss = 0.002, time = 0.098
Epoch 1/100, Iter 149/164, train loss = 0.007, time = 0.099
Epoch 1/100, Iter 150/164, train loss = 0.004, time = 0.094
Epoch 1/100, Iter 151/164, train loss = 0.006, time = 0.091
Epoch 1/100, Iter 152/164, train loss = 0.016, time = 0.091
Epoch 1/100, Iter 153/164, train loss = 0.022, time = 0.092
Epoch 1/100, Iter 154/164, train loss = 0.005, time = 0.099
Epoch 1/100, Iter 155/164, train loss = 0.002, time = 0.092
Epoch 1/100, Iter 156/164, train loss = 0.003, time = 0.093
Epoch 1/100, Iter 157/164, train loss = 0.015, time = 0.104
Epoch 1/100, Iter 158/164, train loss = 0.006, time = 0.101
Epoch 1/100, Iter 159/164, train loss = 0.009, time = 0.097
Epoch 1/100, Iter 160/164, train loss = 0.016, time = 0.091
Epoch 1/100, Iter 161/164, train loss = 0.017, time = 0.089
Epoch 1/100, Iter 162/164, train loss = 0.003, time = 0.092
Epoch 1/100, Iter 163/164, train loss = 0.004, time = 0.090
  0%|          | 0/28 [00:00<?, ?it/s]  4%|▎         | 1/28 [00:02<00:56,  2.08s/it] 11%|█         | 3/28 [00:02<00:14,  1.70it/s] 18%|█▊        | 5/28 [00:04<00:17,  1.28it/s] 25%|██▌       | 7/28 [00:04<00:09,  2.10it/s] 32%|███▏      | 9/28 [00:05<00:11,  1.62it/s] 39%|███▉      | 11/28 [00:06<00:07,  2.36it/s] 43%|████▎     | 12/28 [00:06<00:06,  2.49it/s] 46%|████▋     | 13/28 [00:07<00:08,  1.69it/s] 54%|█████▎    | 15/28 [00:07<00:05,  2.59it/s] 57%|█████▋    | 16/28 [00:08<00:05,  2.21it/s] 61%|██████    | 17/28 [00:09<00:06,  1.77it/s] 68%|██████▊   | 19/28 [00:09<00:03,  2.71it/s] 71%|███████▏  | 20/28 [00:10<00:04,  1.94it/s] 75%|███████▌  | 21/28 [00:11<00:03,  1.86it/s] 82%|████████▏ | 23/28 [00:11<00:01,  2.92it/s] 86%|████████▌ | 24/28 [00:12<00:02,  1.71it/s] 89%|████████▉ | 25/28 [00:12<00:01,  2.06it/s] 96%|█████████▋| 27/28 [00:13<00:00,  3.18it/s]100%|██████████| 28/28 [00:14<00:00,  1.70it/s]100%|██████████| 28/28 [00:14<00:00,  1.91it/s]errors evaluate disparity:
 abs_rel: 0.3695275107664721, rmse: 1.4231867854084288, sq_rel: 0.566371429179396, rmse_log: 0.4503938151257379, a1: 0.4171192857142859, a2: 0.7339707142857143, a3:0.91078
MAX epoch 1 total test error = 0.36953
downscale epochs: [35], downscale rate: 5.0
setting learning rate to 0.001

Epoch 2/100, Iter 0/164, train loss = 0.033, time = 0.088
Epoch 2/100, Iter 1/164, train loss = 0.004, time = 0.110
Epoch 2/100, Iter 2/164, train loss = 0.046, time = 0.090
Epoch 2/100, Iter 3/164, train loss = 0.049, time = 0.088
Epoch 2/100, Iter 4/164, train loss = 0.007, time = 0.089
Epoch 2/100, Iter 5/164, train loss = 0.021, time = 0.108
Epoch 2/100, Iter 6/164, train loss = 0.010, time = 0.087
Epoch 2/100, Iter 7/164, train loss = 0.013, time = 0.096
Epoch 2/100, Iter 8/164, train loss = 0.015, time = 0.104
Epoch 2/100, Iter 9/164, train loss = 0.015, time = 0.096
Epoch 2/100, Iter 10/164, train loss = 0.122, time = 0.097
Epoch 2/100, Iter 11/164, train loss = 0.010, time = 0.099
Epoch 2/100, Iter 12/164, train loss = 0.015, time = 0.096
Epoch 2/100, Iter 13/164, train loss = 0.012, time = 0.094
Epoch 2/100, Iter 14/164, train loss = 0.084, time = 0.111
Epoch 2/100, Iter 15/164, train loss = 0.008, time = 0.098
Epoch 2/100, Iter 16/164, train loss = 0.022, time = 0.094
Epoch 2/100, Iter 17/164, train loss = 0.015, time = 0.101
Epoch 2/100, Iter 18/164, train loss = 0.007, time = 0.097
Epoch 2/100, Iter 19/164, train loss = 0.014, time = 0.095
Epoch 2/100, Iter 20/164, train loss = 0.009, time = 0.112
Epoch 2/100, Iter 21/164, train loss = 0.049, time = 0.095
Epoch 2/100, Iter 22/164, train loss = 0.014, time = 0.098
Epoch 2/100, Iter 23/164, train loss = 0.045, time = 0.095
Epoch 2/100, Iter 24/164, train loss = 0.011, time = 0.098
Epoch 2/100, Iter 25/164, train loss = 0.011, time = 0.097
